,w_spd,w_ang,sail
0,1,0,GV Genois
1,1,1,GV Genois
2,1,2,GV Genois
3,1,3,GV Genois
4,1,4,GV Genois
5,1,5,GV Genois
6,1,6,GV Genois
7,1,7,GV Genois
8,1,8,GV Genois
9,1,9,GV Genois
10,1,10,GV Genois
11,1,11,GV Genois
12,1,12,GV Genois
13,1,13,GV Genois
14,1,14,GV Genois
15,1,15,GV Genois
16,1,16,GV Genois
17,1,17,GV Genois
18,1,18,GV Genois
19,1,19,GV Genois
20,1,20,GV Genois
21,1,21,GV Genois
22,1,22,GV Genois
23,1,23,GV Genois
24,1,24,GV Genois
25,1,25,GV Genois
26,1,26,GV Genois
27,1,27,GV Genois
28,1,28,GV Genois
29,1,29,GV Genois
30,1,30,GV Genois
31,1,31,GV Genois
32,1,32,GV Genois
33,1,33,GV Genois
34,1,34,GV Genois
35,1,35,GV Genois
36,1,36,GV Genois
37,1,37,GV Genois
38,1,38,GV Genois
39,1,39,GV Genois
40,1,40,GV Genois
41,1,41,GV Genois
42,1,42,GV Genois
43,1,43,GV Genois
44,1,44,GV Genois
45,1,45,GV Genois
46,1,46,GV Genois
47,1,47,GV Genois
48,1,48,GV Genois
49,1,49,GV Genois
50,1,50,GV Genois
51,1,51,GV Genois
52,1,52,GV Genois
53,1,53,GV Genois
54,1,54,GV Genois
55,1,55,GV Genois
56,1,56,GV Genois
57,1,57,GV Genois
58,1,58,GV Genois
59,1,59,GV Genois
60,1,60,GV Genois
61,1,61,GV Genois
62,1,62,GV Genois
63,1,63,GV Genois
64,1,64,GV Genois
65,1,65,GV Genois
66,1,66,GV Genois
67,1,67,GV Genois
68,1,68,GV Genois
69,1,69,GV Genois
70,1,70,GV Genois
71,1,71,GV Genois
72,1,72,GV Genois
73,1,73,GV Genois
74,1,74,GV Genois
75,1,75,GV Genois
76,1,76,GV Genois
77,1,77,GV Genois
78,1,78,GV Genois
79,1,79,GV Genois
80,1,80,GV Genois
81,1,81,GV Genois
82,1,82,GV Genois
83,1,83,GV Genois
84,1,84,GV Genois
85,1,85,GV Genois
86,1,86,GV Genois
87,1,87,GV Genois
88,1,88,GV Genois
89,1,89,GV Genois
90,1,90,GV Genois
91,1,91,GV Spi
