pid,lon,lat,lon_auto,lat_auto
1,,,"2.593333333333333","40.99666666666667"
3,,,"3.413333333333333","40.28"
6,,,"5.280416666666667","40.13458333333334"
8,,,"7.304583333333333","40.80041666666666"
11,,,"9.491666666666665","41.75"
13,,,"9.586666666666666","42.575"
15,,,"8.824166666666667","43.1475"
17,,,"7.629166666666666","43.405833333333334"
14,9° 25.4',43° 01',"9.423333333333334","43.016666666666666"
12,9° 45',42° 08',"9.75","42.13333333333333"
18,7° 02',43° 32',"7.033333333333333","43.53333333333333"
16,8° 13.5',43° 16.7',"8.225","43.278333333333336"
12,,,,
10,,,,
10,9° 14',41° 22',"9.233333333333333","41.36666666666667"
9,8° 19',41° 08',"8.316666666666666","41.13333333333333"
7,6° 17.55',40° 28.05',"6.2925","40.4675"
5,4° 16.1',39° 48.1',"4.2683333333333335","39.80166666666667"
4,3° 49.4',39° 55.3',"3.8233333333333333","39.92166666666667"
2,3° 0.2',40° 38.3',"3.0033333333333334","40.638333333333335"
0,2° 11',41° 21.3',"2.183333333333333","41.355"
